PLAYER_ID,PLAYER_NAME,PLAYER_POSITION,TEAM_ID,TEAM_ABBREVIATION,GP,MIN,FAN_DUEL_PTS,NBA_FANTASY_PTS,PTS,REB,AST,BLK,STL,TOV,FG3M,FGA,FG_PCT,FTA,FT_PCT
1630559,Austin Reaves,G,1610612747,LAL,1,41.6,68.2,71.2,31.0,16.0,10.0,1.0,2.0,3.0,3.0,17.0,0.412,14.0,1.0
203506,Victor Oladipo,G,1610612748,MIA,1,35.5,62.5,64.5,40.0,10.0,7.0,0.0,2.0,4.0,5.0,22.0,0.591,11.0,0.818
1630193,Immanuel Quickley,G,1610612752,NYK,1,41.7,61.0,61.0,34.0,10.0,12.0,0.0,0.0,3.0,4.0,26.0,0.462,8.0,0.75
1630167,Obi Toppin,F,1610612752,NYK,1,40.1,58.5,59.5,42.0,10.0,3.0,1.0,0.0,2.0,6.0,28.0,0.571,4.0,1.0
1629599,Amir Coffey,G-F,1610612746,LAC,1,42.7,58.1,59.1,35.0,13.0,5.0,1.0,0.0,2.0,7.0,22.0,0.591,2.0,1.0
201142,Kevin Durant,F,1610612751,BKN,1,40.7,52.0,53.0,20.0,10.0,16.0,0.0,1.0,6.0,0.0,17.0,0.294,10.0,1.0
1629723,John Konchar,G,1610612763,MEM,1,39.0,51.6,54.6,17.0,13.0,10.0,1.0,2.0,2.0,1.0,11.0,0.636,5.0,0.4
1629029,Luka Doncic,F-G,1610612742,DAL,1,28.8,51.1,54.1,26.0,8.0,9.0,1.0,2.0,4.0,2.0,18.0,0.444,8.0,1.0
202681,Kyrie Irving,G,1610612751,BKN,1,39.9,49.9,50.9,35.0,7.0,5.0,0.0,1.0,3.0,4.0,20.0,0.75,2.0,0.5
1630572,Sandro Mamukelashvili,F-C,1610612749,MIL,1,42.6,49.6,50.6,28.0,13.0,4.0,0.0,1.0,2.0,2.0,18.0,0.556,6.0,1.0
201567,Kevin Love,F-C,1610612739,CLE,1,14.7,49.0,50.0,32.0,10.0,2.0,0.0,1.0,0.0,8.0,16.0,0.625,6.0,0.667
1630224,Jalen Green,G,1610612745,HOU,1,39.5,48.7,49.7,41.0,1.0,3.0,0.0,1.0,0.0,4.0,26.0,0.538,11.0,0.818
1630558,Davion Mitchell,G,1610612758,SAC,1,39.6,47.1,49.1,18.0,3.0,15.0,2.0,0.0,1.0,2.0,14.0,0.357,8.0,0.75
1629003,Shake Milton,G-F,1610612755,PHI,1,32.9,46.7,49.8,30.0,4.0,4.0,1.0,2.0,0.0,1.0,18.0,0.611,7.0,1.0
1629027,Trae Young,G,1610612737,ATL,1,34.2,45.5,45.5,28.0,5.0,11.0,0.0,0.0,5.0,4.0,20.0,0.5,4.0,1.0
1630194,Paul Reed,F,1610612755,PHI,1,20.9,45.2,50.2,25.0,6.0,2.0,1.0,4.0,0.0,0.0,14.0,0.857,1.0,1.0
202691,Klay Thompson,G,1610612744,GSW,1,30.9,44.6,44.6,41.0,3.0,2.0,0.0,0.0,3.0,7.0,29.0,0.552,3.0,0.667
1628370,Malik Monk,G,1610612747,LAL,1,35.2,44.2,44.3,41.0,4.0,1.0,0.0,0.0,3.0,7.0,25.0,0.56,6.0,1.0
1629052,Oshae Brissett,F-G,1610612754,IND,1,35.8,44.1,45.1,28.0,8.0,3.0,0.0,1.0,0.0,5.0,20.0,0.5,4.0,0.75
1629640,Keldon Johnson,F-G,1610612759,SAS,1,33.5,43.7,47.7,24.0,6.0,3.0,0.0,4.0,0.0,1.0,19.0,0.421,7.0,1.0
1630163,LaMelo Ball,G,1610612766,CHA,1,28.5,43.5,44.5,24.0,10.0,9.0,0.0,1.0,8.0,6.0,16.0,0.5,2.0,1.0
1628369,Jayson Tatum,F-G,1610612738,BOS,1,26.1,43.2,44.3,31.0,9.0,3.0,0.0,1.0,5.0,6.0,14.0,0.786,3.0,1.0
1630172,Patrick Williams,F,1610612741,CHI,1,41.1,42.7,43.8,35.0,4.0,4.0,1.0,0.0,5.0,3.0,21.0,0.476,14.0,0.857
1629645,Kevin Porter Jr.,G-F,1610612745,HOU,1,40.7,42.6,42.6,26.0,8.0,6.0,0.0,0.0,2.0,6.0,24.0,0.417,0.0,0.0
1629670,Jordan Nwora,F,1610612749,MIL,1,44.2,42.0,43.0,24.0,10.0,4.0,1.0,0.0,2.0,3.0,23.0,0.304,7.0,1.0
1629013,Landry Shamet,G,1610612756,PHX,1,32.6,41.1,43.1,27.0,3.0,5.0,1.0,1.0,1.0,5.0,20.0,0.55,0.0,0.0
1628971,Bruce Brown,G-F,1610612751,BKN,1,37.8,40.9,45.9,21.0,7.0,3.0,2.0,3.0,3.0,1.0,13.0,0.615,5.0,0.8
1630285,Zavier Simpson,G,1610612760,OKC,1,45.2,40.2,42.3,17.0,9.0,7.0,1.0,1.0,2.0,1.0,15.0,0.467,2.0,1.0
1630169,Tyrese Haliburton,G,1610612754,IND,1,39.5,39.7,41.8,17.0,4.0,10.0,0.0,2.0,1.0,2.0,14.0,0.5,1.0,1.0
203991,Clint Capela,C,1610612737,ATL,1,23.3,39.6,42.6,18.0,13.0,0.0,2.0,1.0,0.0,0.0,10.0,0.7,4.0,1.0
1629658,Jaylen Hoard,F,1610612760,OKC,1,45.2,39.5,41.5,14.0,15.0,3.0,1.0,1.0,1.0,1.0,20.0,0.3,1.0,1.0
1629617,Reggie Perry,F-C,1610612757,POR,1,33.5,39.1,41.1,20.0,8.0,5.0,2.0,0.0,2.0,1.0,17.0,0.529,3.0,0.333
1630568,Luka Garza,C,1610612765,DET,1,30.6,39.0,40.0,20.0,10.0,4.0,1.0,0.0,1.0,2.0,18.0,0.444,6.0,0.333
203083,Andre Drummond,C,1610612751,BKN,1,19.9,38.6,40.6,20.0,13.0,0.0,2.0,0.0,1.0,0.0,9.0,1.0,2.0,1.0
1630596,Evan Mobley,C,1610612739,CLE,1,22.7,38.5,42.5,18.0,10.0,1.0,4.0,0.0,1.0,0.0,13.0,0.615,4.0,0.5
1628964,Mo Bamba,C,1610612753,ORL,1,27.8,38.5,40.5,21.0,10.0,1.0,2.0,0.0,0.0,5.0,11.0,0.636,3.0,0.667
202326,DeMarcus Cousins,C,1610612743,DEN,1,23.5,38.2,41.3,17.0,9.0,5.0,2.0,1.0,3.0,2.0,7.0,0.714,6.0,0.833
1628972,Troy Brown Jr.,G-F,1610612741,CHI,1,39.6,38.2,40.2,17.0,11.0,4.0,0.0,2.0,2.0,2.0,13.0,0.538,1.0,1.0
1630583,Santi Aldama,F-C,1610612763,MEM,1,31.1,38.0,40.0,20.0,10.0,4.0,0.0,2.0,4.0,2.0,16.0,0.438,6.0,0.667
1630245,Ayo Dosunmu,G,1610612741,CHI,1,44.7,38.0,40.0,26.0,5.0,6.0,0.0,2.0,7.0,3.0,18.0,0.5,7.0,0.714
1627741,Buddy Hield,G,1610612754,IND,1,35.9,37.6,40.6,21.0,3.0,6.0,0.0,3.0,2.0,5.0,23.0,0.348,0.0,0.0
203497,Rudy Gobert,C,1610612762,UTA,1,29.6,37.1,39.1,18.0,13.0,1.0,2.0,0.0,2.0,0.0,6.0,0.667,14.0,0.714
1630527,Brandon Boston Jr.,G,1610612746,LAC,1,38.3,36.9,38.9,18.0,7.0,5.0,1.0,1.0,1.0,0.0,15.0,0.533,4.0,0.5
203937,Kyle Anderson,F-G,1610612763,MEM,1,25.2,36.9,40.9,16.0,7.0,3.0,1.0,3.0,0.0,1.0,11.0,0.545,4.0,0.75
1629021,Moritz Wagner,F-C,1610612753,ORL,1,30.0,36.7,38.7,14.0,11.0,5.0,0.0,2.0,2.0,2.0,11.0,0.455,2.0,1.0
1626179,Terry Rozier,G,1610612766,CHA,1,31.6,36.6,36.6,25.0,3.0,6.0,0.0,0.0,1.0,5.0,18.0,0.556,0.0,0.0
203992,Bogdan Bogdanovic,G,1610612737,ATL,1,28.0,35.7,37.7,14.0,6.0,7.0,0.0,2.0,0.0,4.0,14.0,0.357,3.0,0.0
1627823,Juancho Hernangomez,F,1610612762,UTA,1,31.6,35.6,36.6,22.0,8.0,2.0,0.0,1.0,1.0,4.0,14.0,0.571,4.0,0.5
1630181,R.J. Hampton,G,1610612753,ORL,1,33.3,34.7,34.7,21.0,6.0,5.0,0.0,0.0,1.0,4.0,16.0,0.5,1.0,1.0
1630538,Bones Hyland,G,1610612743,DEN,1,24.1,34.7,37.8,17.0,4.0,6.0,3.0,0.0,2.0,2.0,15.0,0.4,3.0,1.0
1629117,Wenyen Gabriel,F,1610612747,LAL,1,38.1,34.5,36.5,14.0,10.0,3.0,2.0,0.0,0.0,0.0,13.0,0.462,5.0,0.4
1628449,Chris Boucher,F-C,1610612761,TOR,1,31.7,33.9,33.9,21.0,7.0,3.0,0.0,0.0,0.0,3.0,14.0,0.429,7.0,0.857
201568,Danilo Gallinari,F,1610612737,ATL,1,31.5,33.7,34.8,26.0,4.0,2.0,1.0,0.0,2.0,6.0,14.0,0.643,2.0,1.0
1627745,Damian Jones,C,1610612758,SAC,1,30.0,33.7,35.7,19.0,6.0,3.0,2.0,0.0,1.0,1.0,9.0,0.889,5.0,0.4
1629623,Lindell Wigginton,G,1610612749,MIL,1,40.0,33.6,34.6,18.0,3.0,8.0,0.0,1.0,2.0,2.0,15.0,0.467,6.0,0.333
203210,JaMychal Green,F-C,1610612743,DEN,1,22.6,33.2,37.3,11.0,9.0,3.0,1.0,3.0,1.0,0.0,7.0,0.714,2.0,0.5
1629673,Jordan Poole,G,1610612744,GSW,1,28.3,33.2,35.3,22.0,4.0,5.0,2.0,0.0,5.0,4.0,16.0,0.438,4.0,1.0
1629875,Xavier Moon,G,1610612746,LAC,1,26.0,33.1,35.1,17.0,3.0,7.0,1.0,1.0,2.0,1.0,11.0,0.727,0.0,0.0
203648,Thanasis Antetokounmpo,F,1610612749,MIL,1,40.6,33.0,34.0,27.0,5.0,2.0,1.0,0.0,5.0,1.0,14.0,0.643,10.0,0.8
1628365,Markelle Fultz,G,1610612753,ORL,1,29.5,32.8,33.9,10.0,2.0,15.0,0.0,1.0,4.0,0.0,12.0,0.417,0.0,0.0
1627749,Dejounte Murray,G,1610612759,SAS,1,31.8,32.7,35.7,17.0,1.0,7.0,0.0,3.0,2.0,1.0,15.0,0.333,6.0,1.0
1628392,Isaiah Hartenstein,C-F,1610612746,LAC,1,24.7,32.2,34.2,12.0,6.0,6.0,1.0,1.0,0.0,1.0,7.0,0.571,3.0,1.0
203903,Jordan Clarkson,G,1610612762,UTA,1,28.6,32.2,35.2,9.0,11.0,4.0,0.0,3.0,2.0,1.0,13.0,0.308,0.0,0.0
1630210,Markus Howard,G,1610612743,DEN,1,24.1,32.1,33.1,25.0,3.0,1.0,0.0,1.0,0.0,2.0,17.0,0.471,8.0,0.875
1628973,Jalen Brunson,G,1610612742,DAL,1,24.7,31.7,31.7,18.0,6.0,5.0,0.0,0.0,1.0,3.0,13.0,0.538,2.0,0.5
1628374,Lauri Markkanen,F-C,1610612739,CLE,1,20.7,31.4,31.4,23.0,7.0,0.0,0.0,0.0,0.0,4.0,11.0,0.727,3.0,1.0
1627826,Ivica Zubac,C,1610612746,LAC,1,23.3,31.2,33.2,12.0,11.0,2.0,2.0,0.0,1.0,0.0,10.0,0.6,0.0,0.0
200765,Rajon Rondo,G,1610612739,CLE,1,24.6,31.2,32.3,6.0,4.0,13.0,0.0,1.0,1.0,2.0,5.0,0.4,0.0,0.0
204456,T.J. McConnell,G,1610612754,IND,1,30.9,31.1,34.1,14.0,3.0,5.0,0.0,3.0,0.0,3.0,15.0,0.333,2.0,0.5
1630230,Naji Marshall,F,1610612740,NOP,1,32.3,31.0,31.0,19.0,5.0,6.0,0.0,0.0,3.0,0.0,15.0,0.533,3.0,1.0
1629060,Rui Hachimura,F,1610612764,WAS,1,32.3,30.8,31.8,21.0,4.0,2.0,0.0,1.0,0.0,1.0,19.0,0.474,2.0,1.0
202687,Bismack Biyombo,C,1610612756,PHX,1,25.7,30.3,32.3,14.0,9.0,1.0,2.0,0.0,0.0,0.0,7.0,0.714,5.0,0.8
1630233,Nathan Knight,F-C,1610612750,MIN,1,16.0,30.1,30.1,17.0,8.0,3.0,0.0,0.0,1.0,1.0,12.0,0.583,3.0,0.667
1630178,Tyrese Maxey,G,1610612755,PHI,1,23.4,29.8,29.9,25.0,2.0,3.0,0.0,0.0,2.0,0.0,15.0,0.6,7.0,1.0
1629109,Gary Clark,F,1610612740,NOP,1,27.7,29.7,30.7,17.0,6.0,3.0,0.0,1.0,1.0,4.0,9.0,0.667,2.0,0.5
1630686,Georgios Kalaitzakis,F,1610612760,OKC,1,48.0,29.7,31.7,17.0,6.0,3.0,0.0,2.0,3.0,3.0,15.0,0.4,4.0,0.5
1630606,Javonte Smart,G,1610612748,MIA,1,33.6,29.5,31.5,20.0,5.0,1.0,1.0,1.0,2.0,4.0,14.0,0.571,0.0,0.0
1630578,Alperen Sengun,C,1610612745,HOU,1,34.6,29.2,30.2,9.0,6.0,8.0,1.0,0.0,1.0,1.0,12.0,0.333,0.0,0.0
201144,Mike Conley,G,1610612762,UTA,1,25.6,28.8,31.9,14.0,2.0,5.0,0.0,3.0,1.0,1.0,13.0,0.462,2.0,0.5
1629730,Rayjon Tucker,G,1610612749,MIL,1,39.2,28.8,30.8,15.0,4.0,4.0,0.0,2.0,1.0,3.0,7.0,0.714,3.0,0.667
1628379,Luke Kennard,G,1610612746,LAC,1,27.7,28.6,28.6,20.0,3.0,4.0,0.0,0.0,1.0,4.0,17.0,0.412,2.0,1.0
1628978,Donte DiVincenzo,G,1610612758,SAC,1,27.1,28.3,29.3,19.0,4.0,3.0,0.0,1.0,2.0,4.0,11.0,0.455,7.0,0.714
201580,JaVale McGee,C-F,1610612756,PHX,1,22.3,28.1,29.1,11.0,13.0,1.0,1.0,0.0,2.0,0.0,9.0,0.556,4.0,0.25
1630228,Jonathan Kuminga,F,1610612744,GSW,1,28.9,28.0,29.0,18.0,5.0,2.0,0.0,1.0,1.0,3.0,10.0,0.7,2.0,0.5
1629655,Daniel Gafford,F-C,1610612764,WAS,1,28.0,27.9,30.9,13.0,7.0,1.0,2.0,1.0,1.0,0.0,9.0,0.444,10.0,0.5
1627854,Bryn Forbes,G,1610612743,DEN,1,36.4,27.6,28.7,24.0,1.0,1.0,0.0,1.0,1.0,5.0,14.0,0.429,7.0,1.0
1630994,Gabriel Lundberg,G,1610612756,PHX,1,26.9,27.5,29.5,10.0,5.0,5.0,0.0,2.0,0.0,2.0,13.0,0.308,0.0,0.0
1629002,Chimezie Metu,F-C,1610612758,SAC,1,29.6,27.4,32.4,7.0,7.0,2.0,1.0,4.0,1.0,1.0,5.0,0.4,2.0,1.0
1629643,Chuma Okeke,F,1610612753,ORL,1,29.3,27.2,29.2,17.0,6.0,0.0,1.0,1.0,1.0,5.0,13.0,0.462,0.0,0.0
202692,Alec Burks,G,1610612752,NYK,1,39.7,27.2,28.2,10.0,6.0,8.0,0.0,1.0,4.0,2.0,7.0,0.571,0.0,0.0
1626169,Stanley Johnson,F-G,1610612747,LAL,1,46.5,27.1,27.1,15.0,8.0,3.0,0.0,0.0,2.0,1.0,9.0,0.556,4.0,1.0
1627751,Jakob Poeltl,C,1610612759,SAS,1,28.7,27.0,29.0,12.0,10.0,0.0,1.0,1.0,1.0,0.0,11.0,0.545,0.0,0.0
1628970,Miles Bridges,F,1610612766,CHA,1,27.8,26.9,27.9,9.0,7.0,5.0,1.0,0.0,0.0,1.0,12.0,0.25,2.0,1.0
1630530,Trey Murphy III,F,1610612740,NOP,1,26.8,26.7,28.7,15.0,6.0,1.0,0.0,2.0,1.0,2.0,13.0,0.462,1.0,1.0
203107,Tomas Satoransky,G,1610612764,WAS,1,20.3,26.7,27.7,5.0,6.0,9.0,0.0,1.0,1.0,1.0,3.0,0.667,0.0,0.0
1629607,Jared Harper,G,1610612740,NOP,1,20.3,26.6,27.7,10.0,1.0,9.0,0.0,1.0,0.0,2.0,9.0,0.444,0.0,0.0
1630688,Ish Wainright,F,1610612756,PHX,1,32.1,26.6,30.6,15.0,3.0,0.0,0.0,4.0,0.0,3.0,14.0,0.429,0.0,0.0
1630533,Ziaire Williams,F,1610612763,MEM,1,27.7,26.3,27.3,18.0,4.0,1.0,0.0,1.0,0.0,4.0,18.0,0.333,2.0,1.0
1628464,Daniel Theis,F-C,1610612738,BOS,1,25.9,26.3,26.3,11.0,9.0,3.0,0.0,0.0,0.0,0.0,8.0,0.625,1.0,1.0
1629651,Nic Claxton,F-C,1610612751,BKN,1,23.4,26.2,26.2,14.0,6.0,4.0,0.0,0.0,1.0,0.0,6.0,1.0,2.0,1.0
1629001,De'Anthony Melton,G,1610612763,MEM,1,24.2,26.1,27.1,14.0,3.0,5.0,1.0,0.0,1.0,3.0,13.0,0.308,4.0,0.75
1630200,Tre Jones,G,1610612759,SAS,1,20.9,26.1,28.2,12.0,1.0,6.0,0.0,2.0,0.0,2.0,9.0,0.556,0.0,0.0
1629312,Haywood Highsmith,F,1610612748,MIA,1,40.3,26.0,27.0,16.0,5.0,2.0,1.0,0.0,1.0,2.0,17.0,0.412,1.0,0.0
203200,Justin Holiday,F-G,1610612758,SAC,1,31.1,25.8,27.9,19.0,2.0,1.0,0.0,2.0,1.0,5.0,10.0,0.7,0.0,0.0
1630314,Brandon Williams,G,1610612757,POR,1,32.4,25.8,28.8,10.0,4.0,4.0,1.0,2.0,1.0,1.0,16.0,0.25,1.0,1.0
1630553,Keon Johnson,G,1610612757,POR,1,35.1,25.6,29.6,8.0,3.0,6.0,1.0,3.0,3.0,0.0,13.0,0.231,2.0,1.0
1629006,Josh Okogie,G,1610612750,MIN,1,21.3,25.6,28.6,13.0,3.0,2.0,1.0,2.0,0.0,0.0,7.0,0.714,4.0,0.75
1629649,Ignas Brazdeikis,F,1610612753,ORL,1,24.9,25.5,25.5,15.0,5.0,3.0,0.0,0.0,0.0,1.0,10.0,0.6,3.0,0.667
1629130,Duncan Robinson,F,1610612748,MIA,1,20.3,25.4,26.4,9.0,7.0,4.0,0.0,1.0,0.0,3.0,9.0,0.333,0.0,0.0
1629636,Darius Garland,G,1610612739,CLE,1,23.2,25.3,25.4,11.0,2.0,8.0,0.0,0.0,0.0,3.0,7.0,0.571,0.0,0.0
1630579,Jericho Sims,C,1610612752,NYK,1,39.4,25.3,27.3,6.0,14.0,1.0,0.0,2.0,3.0,0.0,4.0,0.75,0.0,0.0
1629726,Garrison Mathews,G,1610612745,HOU,1,31.7,25.2,27.2,14.0,6.0,0.0,1.0,1.0,0.0,3.0,7.0,0.571,3.0,1.0
1629667,Jalen McDaniels,F-C,1610612766,CHA,1,20.6,25.2,26.2,14.0,6.0,2.0,1.0,0.0,1.0,2.0,8.0,0.75,0.0,0.0
202328,Greg Monroe,F-C,1610612750,MIN,1,18.3,25.1,29.1,9.0,3.0,5.0,2.0,2.0,3.0,0.0,8.0,0.5,2.0,0.5
1630557,Corey Kispert,F,1610612764,WAS,1,25.6,25.1,25.1,20.0,3.0,1.0,0.0,0.0,0.0,4.0,12.0,0.667,0.0,0.0
203095,Evan Fournier,G-F,1610612752,NYK,1,32.7,25.1,29.1,6.0,3.0,5.0,2.0,2.0,0.0,2.0,11.0,0.182,0.0,0.0
1630166,Deni Avdija,F,1610612764,WAS,1,31.1,25.0,26.0,12.0,5.0,4.0,0.0,1.0,1.0,1.0,12.0,0.417,1.0,1.0
1630202,Payton Pritchard,G,1610612738,BOS,1,15.4,24.8,25.8,12.0,4.0,4.0,0.0,1.0,0.0,2.0,8.0,0.5,2.0,1.0
201599,DeAndre Jordan,C,1610612755,PHI,1,23.2,24.7,25.7,8.0,11.0,1.0,1.0,0.0,0.0,0.0,6.0,0.667,2.0,0.0
1627759,Jaylen Brown,G-F,1610612738,BOS,1,23.1,24.6,24.6,18.0,3.0,4.0,0.0,0.0,3.0,2.0,16.0,0.5,0.0,0.0
1630296,Braxton Key,F,1610612765,DET,1,21.8,24.5,26.5,12.0,5.0,3.0,1.0,1.0,2.0,1.0,7.0,0.714,1.0,1.0
1628988,Aaron Holiday,G,1610612756,PHX,1,33.0,24.5,25.5,10.0,5.0,5.0,0.0,1.0,1.0,1.0,17.0,0.176,3.0,1.0
1630170,Devin Vassell,G-F,1610612759,SAS,1,31.5,24.3,25.3,15.0,4.0,3.0,0.0,1.0,2.0,3.0,11.0,0.364,4.0,1.0
1629676,Isaiah Roby,F,1610612760,OKC,1,18.1,24.1,26.1,16.0,3.0,1.0,0.0,2.0,1.0,2.0,15.0,0.467,2.0,0.0
202357,Nemanja Bjelica,F,1610612744,GSW,1,22.9,23.9,25.9,4.0,7.0,7.0,0.0,2.0,3.0,0.0,3.0,0.667,0.0,0.0
1626224,Cedi Osman,F,1610612739,CLE,1,27.4,23.8,24.8,15.0,4.0,2.0,0.0,1.0,1.0,2.0,10.0,0.6,2.0,0.5
1630201,Malachi Flynn,G,1610612761,TOR,1,28.0,23.8,25.8,10.0,4.0,4.0,0.0,2.0,1.0,2.0,14.0,0.286,0.0,0.0
1628975,Jevon Carter,G,1610612749,MIL,1,33.4,23.7,26.7,3.0,6.0,5.0,0.0,3.0,0.0,1.0,11.0,0.091,0.0,0.0
1629611,Terance Mann,G-F,1610612746,LAC,1,24.4,23.5,25.5,10.0,5.0,3.0,2.0,0.0,1.0,1.0,7.0,0.571,1.0,1.0
1628989,Kevin Huerter,G-F,1610612737,ATL,1,30.5,23.5,23.5,11.0,5.0,5.0,0.0,0.0,1.0,3.0,8.0,0.5,0.0,0.0
1629750,Javonte Green,G-F,1610612741,CHI,1,39.7,23.4,25.4,8.0,7.0,2.0,0.0,2.0,0.0,0.0,8.0,0.5,0.0,0.0
1629661,Cameron Johnson,F,1610612756,PHX,1,23.2,23.4,24.4,12.0,7.0,2.0,1.0,0.0,2.0,1.0,9.0,0.444,3.0,1.0
